"country","Avg_Temp"
"Afghanistan",14.36
"Albania",15.5
"Algeria",16.43
"Angola",23.69
"Argentina",17.06
"Armenia",8.37
"Australia",15.86
"Austria",8
"Azerbaijan",11.1
"Bahamas",24.75
"Bahrain",25.84
"Bangladesh",25.47
"Belarus",5.36
"Belgium",9.85
"Bolivia",8.74
"Bosnia And Herzegovina",9.05
"Botswana",18.99
"Brazil",21.76
"Bulgaria",8.43
"Burkina Faso",28.05
"Burundi",20.8
"Cameroon",24.61
"Canada",5.83
"Central African Republic",24.94
"Chile",9.14
"China",12.43
"Colombia",24.29
"Congo",23.86
"Congo (Democratic Republic Of The)",22.27
"Croatia",9.45
"Czech Republic",8.2
"C̫te D'Ivoire",25.86
"Denmark",7.88
"Dominican Republic",25.99
"Ecuador",19.85
"Egypt",20.73
"El Salvador",25.36
"Equatorial Guinea",25.49
"Eritrea",24
"Estonia",4.88
"Finland",4.24
"France",10.38
"Gabon",25.98
"Georgia",8.37
"Germany",7.27
"Ghana",26.29
"Greece",17.42
"Guatemala",19.17
"Guinea",26.58
"Guinea Bissau",27.05
"Guyana",26.54
"Haiti",26.46
"Honduras",23.88
"Hong Kong",21.43
"Hungary",9.73
"India",25.31
"Indonesia",26.23
"Iran",13.47
"Iraq",20.73
"Ireland",8.67
"Italy",9.35
"Jamaica",26.62
"Japan",14.11
"Kazakhstan",3.77
"Kenya",16.08
"Laos",24.09
"Latvia",5.23
"Lebanon",18.93
"Lesotho",14.04
"Liberia",25.67
"Libya",19.18
"Lithuania",5.46
"Macedonia",9.54
"Madagascar",19.2
"Malawi",20
"Malaysia",26.57
"Mali",26.97
"Mauritania",27.02
"Mauritius",23.52
"Mexico",19.8
"Moldova",8.75
"Mongolia",-3.37
"Montenegro",10.19
"Morocco",17.24
"Mozambique",21.2
"Namibia",19.64
"Nepal",14.66
"Netherlands",9.11
"New Zealand",12.65
"Nicaragua",26.37
"Niger",29.04
"Nigeria",26.5
"Norway",2.34
"Pakistan",23.59
"Papua New Guinea",24.86
"Peru",16.76
"Philippines",26.2
"Poland",7.33
"Portugal",15.53
"Qatar",26.77
"Romania",10.79
"Russia",2.67
"Rwanda",19.06
"Saudi Arabia",25.4
"Senegal",24.62
"Serbia",9.79
"Sierra Leone",26.58
"Singapore",26.52
"Slovakia",9.84
"Slovenia",9.45
"Somalia",27.15
"South Africa",17.21
"South Korea",10.68
"Spain",14.63
"Sri Lanka",25.93
"Sudan",27.37
"Suriname",26.42
"Sweden",6.37
"Switzerland",6.81
"Syria",18.35
"Taiwan",22.11
"Tajikistan",7.31
"Tanzania",25.75
"Thailand",27.15
"Tunisia",18.42
"Turkey",14.17
"Uganda",23.23
"Ukraine",6.99
"United Arab Emirates",26.57
"United Kingdom",8.73
"United States",14.04
"Uruguay",16.23
"Uzbekistan",10.32
"Venezuela",25.77
"Vietnam",24.37
"Zambia",20.43
"Zimbabwe",20.2
